src,dst,distance_km,weight
4b396b34f964a5204f5c25e3,4b777fa7f964a520309e2ee3,0.03259,0.9684385864670393
4b396b34f964a5204f5c25e3,4b7a6bc8f964a5205d2c2fe3,0.03507,0.9661182335494218
4b396b34f964a5204f5c25e3,4b7b2b56f964a52092552fe3,0.03817,0.9632333818160802
4b396b34f964a5204f5c25e3,4b497feef964a5209c7026e3,0.04131,0.9603288165867994
4b396b34f964a5204f5c25e3,4b752193f964a520c8fe2de3,0.0507,0.9517464547444561
4b396b34f964a5204f5c25e3,4b9db772f964a520a0bb36e3,0.0705,0.9341429238673516
4b305a74f964a5201ef924e3,4b7d1821f964a52062ae2fe3,0.01971,0.9806709750811506
4b305a74f964a5201ef924e3,4b87392af964a52038b731e3,0.02771,0.9730371408276655
4b305a74f964a5201ef924e3,4bca96f1937ca593df4aa892,0.05342,0.9492889825520685
4b835f06f964a520330431e3,4b612a90f964a520b70b2ae3,0.07856,0.9271621421154131
4b19f917f964a520abe623e3,4eb90c8377c89727388cbaab,0.01231,0.9878396933745591
4b19f917f964a520abe623e3,4fb887fae4b002b8bb7b72ac,0.01619,0.9840679400505812
4b19f917f964a520abe623e3,4f62f9a6e4b041039c4b5c42,0.01717,0.9831198324763807
4b19f917f964a520abe623e3,4b7a56a6f964a520002a2fe3,0.01998,0.9804113806153061
4b19f917f964a520abe623e3,4fa3574a121df8dabaf60d8b,0.02387,0.9766864934024827
4b19f917f964a520abe623e3,4c81d7d8e602b1f7b536977a,0.02733,0.9733970583940894
4b19f917f964a520abe623e3,4b7bb3d8f964a520566b2fe3,0.02899,0.9718267427283064
4b19f917f964a520abe623e3,4c4beaa9bad7a593e6c284ac,0.02976,0.971100062150404
4b19f917f964a520abe623e3,4e52797e45ddae62fc819570,0.03355,0.9675390643897248
4b19f917f964a520abe623e3,4c2316b999282d7fab2268b0,0.03671,0.9645899046020584
4b19f917f964a520abe623e3,4b7f3b93f964a520092130e3,0.037,0.9643201542912248
4b19f917f964a520abe623e3,4ce62908595cb1f75ac4ba14,0.04002,0.9615199707697929
4b19f917f964a520abe623e3,4cfb3740c51fa1cdc6c3e52b,0.04015,0.9613997981060425
4b19f917f964a520abe623e3,4f7801d6e4b0a35da4d41d7e,0.04463,0.9572767391325159
4b19f917f964a520abe623e3,4e7eb53aa17c96ac9dc0d484,0.04479,0.9571301409852697
4b19f917f964a520abe623e3,4bd01f4477b29c74032d8a82,0.04695,0.9551554515497397
4b19f917f964a520abe623e3,4eb4fd12775b544c2717f677,0.05024,0.9521633150517976
4b19f917f964a520abe623e3,4f7a5708e4b0d7b57617177a,0.05495,0.9479122233281198
4b19f917f964a520abe623e3,4ba9e238f964a5200c3c3ae3,0.05808,0.9451081203689703
4b19f917f964a520abe623e3,4b5cdbb1f964a520bb4729e3,0.05876,0.9445011145113152
4b19f917f964a520abe623e3,4bd0720a046076b0ebee6f71,0.0609,0.9425959091337544
4b19f917f964a520abe623e3,4c8af8aa6418a1431c4de5ce,0.06196,0.9416550529210139
4b19f917f964a520abe623e3,4bf289d79319a5937808cb51,0.06197,0.9416461858621241
4b19f917f964a520abe623e3,4dc63eeed4c0ad9c0f9d5007,0.06317,0.940583349793542
4b19f917f964a520abe623e3,4bfd0344e529c9285c3aba8c,0.06401,0.9398407909700097
4b19f917f964a520abe623e3,4b62c2fcf964a5209e512ae3,0.06692,0.9372773966183031
4b19f917f964a520abe623e3,4ccb8626b5cdbfb7360586c1,0.06762,0.9366628575710458
4b19f917f964a520abe623e3,4b1055faf964a520226e23e3,0.06982,0.9347366846759267
4b19f917f964a520abe623e3,4cec98c4b80da093b0821d00,0.07133,0.9334192079004601
4b19f917f964a520abe623e3,4f9a15dce4b0a4ddf1407e81,0.07278,0.9321575719159566
4b19f917f964a520abe623e3,4ce5d291f1912d4373d5bf09,0.07553,0.9297741578570564
