src,dst,weight
3fd66200f964a52000e71ee3,49ba9f0af964a52087531fe3,1
3fd66200f964a52000e71ee3,4a498225f964a52064ab1fe3,1
3fd66200f964a52000e71ee3,4ec278abe5fae16465a9058e,1
3fd66200f964a52001e81ee3,3fd66200f964a520f4e71ee3,1
3fd66200f964a52001e81ee3,41575800f964a520321d1fe3,1
3fd66200f964a52001e81ee3,453cacc7f964a520153c1fe3,1
3fd66200f964a52001e81ee3,4a1de847f964a520aa7b1fe3,1
3fd66200f964a52001e81ee3,4ace6c89f964a52078d020e3,1
3fd66200f964a52001e81ee3,4b75af66f964a520e31c2ee3,1
3fd66200f964a52001e81ee3,4ba8dcd2f964a52019f539e3,1
3fd66200f964a52001e81ee3,4be5f12dd4f7c9b6402d2620,1
3fd66200f964a52001e81ee3,4c082c5a340720a116b98293,2
3fd66200f964a52001e81ee3,4cd7f12a7bb06dcb988d9fb2,1
3fd66200f964a52003e71ee3,3fd66200f964a520c5f11ee3,1
3fd66200f964a52003e71ee3,40a16900f964a520f9f21ee3,1
3fd66200f964a52003e71ee3,40f1d480f964a5206a0a1fe3,1
3fd66200f964a52003e71ee3,4101a680f964a5205a0b1fe3,1
3fd66200f964a52003e71ee3,4116be80f964a520fc0b1fe3,1
3fd66200f964a52003e71ee3,42829c80f964a5206a221fe3,1
3fd66200f964a52003e71ee3,4c1918c7fe5a76b07b0f0315,1
3fd66200f964a52004e41ee3,3fd66200f964a52070e91ee3,1
3fd66200f964a52004e41ee3,3fd66200f964a520f6ea1ee3,1
3fd66200f964a52004e41ee3,4106ec80f964a5208f0b1fe3,3
3fd66200f964a52004e41ee3,41e5ba00f964a520e31e1fe3,1
3fd66200f964a52004e41ee3,43df8ad6f964a520b92e1fe3,1
3fd66200f964a52004e41ee3,491ada01f964a52072521fe3,1
3fd66200f964a52004e41ee3,49b1f97af964a520dd521fe3,1
3fd66200f964a52004e41ee3,4ba5040cf964a520c6d038e3,1
3fd66200f964a52004e41ee3,4fcd726ce4b0d49882078a21,1
3fd66200f964a52004e61ee3,460d4b1ef964a52004451fe3,1
3fd66200f964a52004e61ee3,4a411c15f964a520c7a41fe3,1
3fd66200f964a52004e61ee3,4a4138ebf964a520f9a41fe3,1
3fd66200f964a52004e61ee3,4a982ad4f964a520c12a20e3,1
3fd66200f964a52004e61ee3,4b40cf3df964a5206bbb25e3,1
3fd66200f964a52004e61ee3,4bc5f776db8fa59392819b37,1
3fd66200f964a52004e61ee3,4dc34fc7ae608779d1064ae9,1
3fd66200f964a52004e61ee3,4eb811f629c212fb6d8158e5,1
3fd66200f964a52004e61ee3,4ef0e7cf7beb5932d5bdeb4e,1
3fd66200f964a52005eb1ee3,40d77680f964a52056011fe3,1
3fd66200f964a52005eb1ee3,41005500f964a5204e0b1fe3,1
3fd66200f964a52005eb1ee3,42893400f964a52052231fe3,1
3fd66200f964a52005eb1ee3,4a99bbcdf964a520223020e3,1
3fd66200f964a52005eb1ee3,4a9c9100f964a5208f3720e3,1
3fd66200f964a52005eb1ee3,4b58c03df964a5201d6928e3,1
3fd66200f964a52005eb1ee3,4b58f22af964a520c07428e3,1
3fd66200f964a52005eb1ee3,4b709d01f964a5204c252de3,1
3fd66200f964a52005eb1ee3,4bd970f90f7cd13a1d677c9f,1
3fd66200f964a52005eb1ee3,4c08494c7e3fc928ea22f082,1
3fd66200f964a52005eb1ee3,4f16bba4e4b09e81dde4b57b,1
3fd66200f964a52008e91ee3,40b68100f964a5207d001fe3,2
3fd66200f964a52008e91ee3,49bd4e25f964a52067541fe3,1
3fd66200f964a52008e91ee3,4d2cc14bb47d2c0fd1608594,1
3fd66200f964a52008f11ee3,3fd66200f964a5200ae61ee3,1
3fd66200f964a52008f11ee3,42829c80f964a5206a221fe3,1
3fd66200f964a52008f11ee3,4a411c15f964a520c7a41fe3,1
3fd66200f964a52008f11ee3,4a6a09fcf964a52072cc1fe3,1
3fd66200f964a52008f11ee3,4aa5c657f964a5206d4920e3,2
3fd66200f964a52008f11ee3,4ec18e816c25dfd9826e9cbc,1
3fd66200f964a52008f11ee3,4fa4a231e4b09571de93b9a7,1
3fd66200f964a52008f11ee3,4fe3c2ffe4b090323d44dca0,1
3fd66200f964a52009e61ee3,3fd66200f964a52062e61ee3,1
3fd66200f964a52009e61ee3,40870b00f964a520b7f21ee3,1
3fd66200f964a52009e61ee3,49bee48bf964a520ed541fe3,1
3fd66200f964a52009e61ee3,4be07f2798f2a5934c72c25a,1
3fd66200f964a52009e61ee3,4de1b34ec65b7a3e2109e46f,1
3fd66200f964a52009e61ee3,4e20589f483b041af1e0fa98,1
3fd66200f964a52009e61ee3,4f71e4207beb1d18abcc9648,1
3fd66200f964a52009e61ee3,4f73bc94e4b0e33c0d2401bc,1
3fd66200f964a5200ae51ee3,3fd66200f964a520a5e41ee3,1
3fd66200f964a5200ae51ee3,40d77680f964a52059011fe3,1
3fd66200f964a5200ae51ee3,4a1f0bf5f964a520fb7b1fe3,1
3fd66200f964a5200ae51ee3,4b7f0390f964a520611030e3,1
3fd66200f964a5200ae61ee3,3fd66200f964a5200de71ee3,3
3fd66200f964a5200ae61ee3,3fd66200f964a52029e61ee3,1
3fd66200f964a5200ae61ee3,3fd66200f964a520a9f11ee3,1
3fd66200f964a5200ae61ee3,3fd66200f964a520d1e31ee3,1
3fd66200f964a5200ae61ee3,4169cd00f964a5208c1d1fe3,1
3fd66200f964a5200ae61ee3,43920486f964a520662b1fe3,1
3fd66200f964a5200ae61ee3,4a19d1edf964a5205a7a1fe3,2
3fd66200f964a5200ae61ee3,4ce08a08ffcf370469b12082,1
3fd66200f964a5200ae71ee3,3fd66200f964a52008f11ee3,1
3fd66200f964a5200ae71ee3,3fd66200f964a52044e81ee3,1
3fd66200f964a5200ae71ee3,4b15385cf964a5207da923e3,1
3fd66200f964a5200ae71ee3,4c4757dd972c0f47a77a2321,1
3fd66200f964a5200ae91ee3,3fd66200f964a520aae81ee3,1
3fd66200f964a5200ae91ee3,44510be3f964a520a0321fe3,1
3fd66200f964a5200ae91ee3,4840fe6bf964a52030501fe3,2
3fd66200f964a5200ae91ee3,49bbd6c0f964a520f4531fe3,1
3fd66200f964a5200ae91ee3,49d164f1f964a5207c5b1fe3,1
3fd66200f964a5200ae91ee3,49ecb093f964a52071671fe3,1
3fd66200f964a5200ae91ee3,4b0ff4a0f964a520b16623e3,1
3fd66200f964a5200ae91ee3,4b5f3f33f964a520c8af29e3,1
3fd66200f964a5200ae91ee3,4ddb05fb8877102e8a85cc02,1
3fd66200f964a5200ce91ee3,3fd66200f964a52035e41ee3,1
3fd66200f964a5200de71ee3,3fd66200f964a52029e61ee3,1
